"  ""Date""","   ""Open""","   ""High""","    ""Low""","  ""Close""","    ""Vol""",OpenInt," ""TotVol""","  ""TotOI"""
31-Dec-98,1170,1214,1167,1205,49891,483327,0,0
30-Dec-98,1160,1178,1143,1175,76312,482319,0,0
29-Dec-98,1146,1174,1145,1172,71890,478686,0,0
28-Dec-98,1127,1156,1125,1146,44988,477528,0,0
24-Dec-98,1126,1140,1115,1123,28807,476271,0,0
23-Dec-98,1130,1147,1125,1133,64898,476415,0,0
22-Dec-98,1116,1125,1105,1112,66616,479229,0,0
21-Dec-98,1107,1144,1075,1102,156541,488949,0,0
18-Dec-98,1120,1155,1105,1126,156719,505368,0,0
17-Dec-98,1215,1220,1100,1103,203736,517230,0,0
16-Dec-98,1200,1260,1200,1238,218057,528464,0,0
15-Dec-98,1127,1170,1118,1155,137481,525277,0,0
14-Dec-98,1088,1134,1084,1129,127655,528838,0,0
11-Dec-98,1081,1102,1065,1079,120859,532938,0,0
10-Dec-98,1100,1125,1068,1072,175241,525861,0,0
09-Dec-98,1143,1146,1112,1116,111078,510305,0,0
08-Dec-98,1165,1183,1126,1130,153452,508741,0,0
07-Dec-98,1112,1155,1083,1147,146619,508132,0,0
04-Dec-98,1120,1135,1113,1117,78918,504188,0,0
03-Dec-98,1135,1165,1115,1119,157028,497227,0,0
02-Dec-98,1118,1132,1095,1124,91928,499807,0,0
01-Dec-98,1117,1143,1085,1113,131961,498006,0,0
30-Nov-98,1168,1170,1082,1122,174959,495720,0,0
25-Nov-98,1230,1230,1163,1186,128195,488337,0,0
24-Nov-98,1243,1253,1211,1212,118454,484472,0,0
23-Nov-98,1295,1295,1240,1245,97938,482834,0,0
20-Nov-98,1277,1295,1258,1289,137270,492975,0,0
19-Nov-98,1293,1298,1268,1274,158828,498191,0,0
18-Nov-98,1277,1305,1238,1276,229620,503731,0,0
17-Nov-98,1317,1320,1275,1278,166415,506677,0,0
16-Nov-98,1323,1344,1278,1282,180277,493225,0,0
13-Nov-98,1400,1422,1345,1357,194009,474999,0,0
12-Nov-98,1384,1394,1366,1384,109023,477972,0,0
11-Nov-98,1374,1390,1353,1355,102968,480470,0,0
10-Nov-98,1343,1364,1323,1352,115570,477201,0,0
09-Nov-98,1378,1380,1334,1338,115150,481710,0,0
06-Nov-98,1388,1424,1375,1387,133520,481016,0,0
05-Nov-98,1395,1420,1384,1397,103002,479453,0,0
04-Nov-98,1410,1430,1392,1414,101516,470967,0,0
03-Nov-98,1423,1434,1410,1420,92780,472802,0,0
02-Nov-98,1450,1474,1430,1436,87956,471589,0,0
30-Oct-98,1417,1445,1386,1442,121004,474587,0,0
29-Oct-98,1422,1430,1405,1424,70793,474538,0,0
28-Oct-98,1402,1430,1392,1429,83046,477014,0,0
27-Oct-98,1452,1458,1390,1413,113217,478151,0,0
26-Oct-98,1425,1449,1416,1423,93441,477595,0,0
23-Oct-98,1412,1432,1400,1405,63448,475465,0,0
22-Oct-98,1408,1418,1383,1397,83114,474916,0,0
21-Oct-98,1362,1440,1357,1408,142051,473027,0,0
20-Oct-98,1350,1370,1328,1352,175727,485938,0,0
19-Oct-98,1447,1450,1350,1353,215457,482068,0,0
16-Oct-98,1423,1431,1410,1415,113321,470873,0,0
15-Oct-98,1399,1418,1388,1405,129409,475051,0,0
14-Oct-98,1417,1428,1400,1405,121598,476255,0,0
13-Oct-98,1458,1458,1405,1423,120109,470251,0,0
12-Oct-98,1463,1469,1441,1444,56477,464965,0,0
09-Oct-98,1453,1461,1414,1458,133152,468050,0,0
08-Oct-98,1495,1495,1437,1442,196588,472060,0,0
07-Oct-98,1535,1540,1502,1506,110632,478013,0,0
06-Oct-98,1528,1556,1517,1550,75804,478984,0,0
05-Oct-98,1550,1552,1511,1539,97792,477407,0,0
02-Oct-98,1548,1567,1523,1564,91872,479076,0,0
01-Oct-98,1625,1636,1525,1543,181273,486401,0,0
30-Sep-98,1580,1618,1578,1614,103990,484128,0,0
29-Sep-98,1557,1600,1543,1598,126274,479446,0,0
28-Sep-98,1582,1583,1552,1564,84570,472366,0,0
25-Sep-98,1599,1607,1566,1575,97993,468657,0,0
24-Sep-98,1570,1620,1562,1598,147400,474167,0,0
23-Sep-98,1602,1604,1570,1581,132963,471676,0,0
22-Sep-98,1550,1590,1550,1584,134902,484050,0,0
21-Sep-98,1552,1578,1546,1567,151761,484301,0,0
18-Sep-98,1510,1567,1501,1562,189254,478269,0,0
17-Sep-98,1478,1492,1465,1486,113511,485740,0,0
16-Sep-98,1473,1478,1441,1453,135388,491175,0,0
15-Sep-98,1442,1475,1432,1457,117236,486568,0,0
14-Sep-98,1450,1468,1436,1442,88616,476967,0,0
11-Sep-98,1490,1494,1428,1434,137377,484108,0,0
10-Sep-98,1446,1489,1438,1467,141137,486883,0,0
09-Sep-98,1419,1449,1410,1412,103741,478379,0,0
08-Sep-98,1430,1458,1421,1429,77582,475735,0,0
04-Sep-98,1455,1497,1448,1459,115067,477139,0,0
03-Sep-98,1400,1476,1395,1467,178987,477850,0,0
02-Sep-98,1373,1378,1355,1367,101905,483247,0,0
01-Sep-98,1325,1378,1320,1373,133933,483889,0,0
31-Aug-98,1347,1353,1318,1334,58086,477718,0,0
28-Aug-98,1315,1352,1310,1350,77021,478056,0,0
27-Aug-98,1340,1342,1300,1323,116504,481298,0,0
26-Aug-98,1365,1369,1336,1358,80738,472331,0,0
25-Aug-98,1366,1385,1355,1377,79518,473057,0,0
24-Aug-98,1332,1367,1329,1364,48480,474942,0,0
21-Aug-98,1365,1377,1320,1337,74153,475433,0,0
20-Aug-98,1333,1389,1330,1380,155418,478153,0,0
19-Aug-98,1338,1348,1324,1336,141819,486176,0,0
18-Aug-98,1317,1325,1290,1292,98277,479984,0,0
17-Aug-98,1330,1340,1309,1320,83027,485033,0,0
14-Aug-98,1310,1340,1299,1335,118321,483115,0,0
13-Aug-98,1310,1350,1310,1321,116723,490767,0,0
12-Aug-98,1288,1297,1269,1271,88102,498633,0,0
11-Aug-98,1290,1310,1256,1276,145665,487576,0,0
10-Aug-98,1383,1385,1302,1305,133022,484133,0,0
07-Aug-98,1388,1391,1376,1380,64273,473656,0,0
06-Aug-98,1376,1392,1370,1376,75076,473972,0,0
05-Aug-98,1368,1415,1366,1368,131878,476544,0,0
04-Aug-98,1385,1388,1368,1375,69529,481679,0,0
03-Aug-98,1410,1425,1364,1370,107354,483898,0,0
31-Jul-98,1425,1435,1411,1421,64579,474675,0,0
30-Jul-98,1422,1448,1397,1421,104334,473895,0,0
29-Jul-98,1402,1418,1396,1409,73787,469482,0,0
28-Jul-98,1429,1445,1410,1427,96246,465783,0,0
27-Jul-98,1401,1424,1392,1422,56869,461908,0,0
24-Jul-98,1390,1396,1371,1387,90697,461143,0,0
23-Jul-98,1412,1424,1375,1388,114902,456996,0,0
22-Jul-98,1365,1420,1362,1416,105827,457600,0,0
21-Jul-98,1383,1408,1368,1404,142865,467662,0,0
20-Jul-98,1430,1430,1355,1363,161861,470507,0,0
17-Jul-98,1450,1453,1392,1398,138001,471623,0,0
16-Jul-98,1470,1487,1452,1452,112928,470633,0,0
15-Jul-98,1468,1500,1463,1487,164285,479717,0,0
14-Jul-98,1405,1474,1400,1455,179658,480650,0,0
13-Jul-98,1368,1405,1355,1391,100453,485458,0,0
10-Jul-98,1393,1408,1385,1387,80643,484778,0,0
09-Jul-98,1388,1414,1375,1388,110180,483833,0,0
08-Jul-98,1385,1416,1377,1385,120831,479290,0,0
07-Jul-98,1390,1390,1360,1362,120364,471551,0,0
06-Jul-98,1424,1431,1388,1392,75302,467960,0,0
02-Jul-98,1457,1467,1441,1450,68801,463313,0,0
01-Jul-98,1420,1440,1420,1437,82551,468912,0,0
30-Jun-98,1435,1455,1413,1418,97603,473375,0,0
29-Jun-98,1410,1414,1387,1407,49873,472824,0,0
26-Jun-98,1412,1430,1393,1413,91262,471802,0,0
25-Jun-98,1440,1444,1375,1403,124326,466279,0,0
24-Jun-98,1470,1475,1412,1460,135291,464455,0,0
23-Jun-98,1395,1483,1395,1452,169821,451473,0,0
22-Jun-98,1330,1399,1328,1365,170607,463586,0,0
19-Jun-98,1335,1340,1304,1317,138885,460072,0,0
18-Jun-98,1350,1355,1310,1313,131165,467835,0,0
17-Jun-98,1350,1408,1345,1369,190912,474463,0,0
16-Jun-98,1315,1360,1310,1323,182192,490563,0,0
15-Jun-98,1230,1235,1142,1156,182912,484393,0,0
12-Jun-98,1275,1295,1250,1259,140234,475512,0,0
11-Jun-98,1344,1349,1270,1275,182492,473444,0,0
10-Jun-98,1390,1394,1312,1348,196039,466535,0,0
09-Jun-98,1450,1455,1381,1385,184388,465221,0,0
08-Jun-98,1480,1490,1453,1455,118059,463262,0,0
05-Jun-98,1532,1540,1502,1507,111574,457084,0,0
04-Jun-98,1540,1556,1508,1512,173078,451050,0,0
03-Jun-98,1458,1495,1447,1481,127467,440955,0,0
02-Jun-98,1495,1510,1478,1484,68308,437192,0,0
01-Jun-98,1503,1514,1474,1496,102710,436396,0,0
29-May-98,1486,1525,1470,1520,95419,430481,0,0
28-May-98,1478,1494,1466,1485,92361,434150,0,0
27-May-98,1478,1507,1476,1499,90084,428684,0,0
26-May-98,1467,1485,1431,1482,77682,438603,0,0
22-May-98,1465,1489,1445,1478,98791,468462,0,0
21-May-98,1430,1467,1418,1463,159699,438182,0,0
20-May-98,1478,1508,1413,1418,166209,0,0,0
19-May-98,1495,1542,1490,1501,189618,437961,0,0
18-May-98,1535,1535,1498,1511,175872,450671,0,0
15-May-98,1575,1585,1525,1532,155335,457023,0,0
14-May-98,1483,1530,1477,1508,128848,447565,0,0
13-May-98,1520,1534,1490,1495,128886,456789,0,0
12-May-98,1527,1539,1511,1524,95274,449104,0,0
11-May-98,1508,1549,1490,1517,119774,455761,0,0
08-May-98,1532,1537,1510,1513,105012,456374,0,0
07-May-98,1530,1568,1520,1524,164139,461322,0,0
06-May-98,1533,1554,1516,1537,130639,458860,0,0
05-May-98,1583,1583,1523,1547,162661,458202,0,0
04-May-98,1580,1604,1575,1595,86487,456011,0,0
01-May-98,1550,1630,1550,1613,177301,457877,0,0
30-Apr-98,1520,1549,1506,1539,105208,450923,0,0
29-Apr-98,1572,1574,1525,1532,95808,449901,0,0
28-Apr-98,1550,1580,1537,1574,88083,451774,0,0
27-Apr-98,1512,1545,1495,1532,90835,456083,0,0
24-Apr-98,1520,1534,1504,1509,105588,454340,0,0
23-Apr-98,1562,1568,1503,1519,176687,450897,0,0
22-Apr-98,1586,1598,1550,1554,91129,446398,0,0
21-Apr-98,1593,1622,1576,1598,160551,454845,0,0
20-Apr-98,1595,1607,1586,1591,115147,461868,0,0
