,Products Platt's Singapore HSFO 180 CST (Paper) 1st month Mid,Products Platt's Singapore HSFO 180 CST (Paper) 1st month Mid,Products Platt's Singapore HSFO 180 CST (Paper) 1st month Mid,Products Platt's Singapore HSFO 180 CST (Paper) 1st month Mid
12-Jul-02,152.625,152.625,152.625,152.625
11-Jul-02,152.125,152.125,152.125,152.125
10-Jul-02,149.625,149.625,149.625,149.625
9-Jul-02,147.25,147.25,147.25,147.25
8-Jul-02,148.125,148.125,148.125,148.125
5-Jul-02,148.625,148.625,148.625,148.625
4-Jul-02,149.75,149.75,149.75,149.75
3-Jul-02,151.375,151.375,151.375,151.375
2-Jul-02,151.5,151.5,151.5,151.5
1-Jul-02,149.25,149.25,149.25,149.25
28-Jun-02,152.375,152.375,152.375,152.375
27-Jun-02,150.875,150.875,150.875,150.875
26-Jun-02,149.25,149.25,149.25,149.25
25-Jun-02,150.5,150.5,150.5,150.5
24-Jun-02,147.375,147.375,147.375,147.375
21-Jun-02,148.375,148.375,148.375,148.375
20-Jun-02,147.125,147.125,147.125,147.125
19-Jun-02,145.25,145.25,145.25,145.25
18-Jun-02,147.1,147.1,147.1,147.1
17-Jun-02,149,149,149,149
14-Jun-02,149,149,149,149
13-Jun-02,146.125,146.125,146.125,146.125
12-Jun-02,142.375,142.375,142.375,142.375
11-Jun-02,141.5,141.5,141.5,141.5
10-Jun-02,141.5,141.5,141.5,141.5
7-Jun-02,144.5,144.5,144.5,144.5
6-Jun-02,146.75,146.75,146.75,146.75
5-Jun-02,146.75,146.75,146.75,146.75
4-Jun-02,151,151,151,151
3-Jun-02,147.25,147.25,147.25,147.25
31-May-02,148,148,148,148
30-May-02,148,148,148,148
29-May-02,147.875,147.875,147.875,147.875
28-May-02,150.125,150.125,150.125,150.125
27-May-02,152.188,152.188,152.188,152.188
24-May-02,154.25,154.25,154.25,154.25
23-May-02,155.375,155.375,155.375,155.375
22-May-02,153.75,153.75,153.75,153.75
21-May-02,155.875,155.875,155.875,155.875
20-May-02,155.875,155.875,155.875,155.875
17-May-02,156.125,156.125,156.125,156.125
16-May-02,156.375,156.375,156.375,156.375
15-May-02,156.625,156.625,156.625,156.625
14-May-02,155.625,155.625,155.625,155.625
13-May-02,151.75,151.75,151.75,151.75
10-May-02,153.125,153.125,153.125,153.125
9-May-02,151.75,151.75,151.75,151.75
8-May-02,150.75,150.75,150.75,150.75
7-May-02,147.75,147.75,147.75,147.75
6-May-02,147.25,147.25,147.25,147.25
3-May-02,148.75,148.75,148.75,148.75
2-May-02,147.25,147.25,147.25,147.25
1-May-02,151.688,151.688,151.688,151.688
30-Apr-02,156.125,156.125,156.125,156.125
29-Apr-02,152.375,152.375,152.375,152.375
26-Apr-02,150.75,150.75,150.75,150.75
25-Apr-02,149.25,149.25,149.25,149.25
24-Apr-02,149.5,149.5,149.5,149.5
23-Apr-02,151,151,151,151
22-Apr-02,152,152,152,152
19-Apr-02,147.75,147.75,147.75,147.75
18-Apr-02,149.75,149.75,149.75,149.75
17-Apr-02,148,148,148,148
16-Apr-02,142.75,142.75,142.75,142.75
15-Apr-02,138.75,138.75,138.75,138.75
12-Apr-02,141.25,141.25,141.25,141.25
11-Apr-02,147.25,147.25,147.25,147.25
10-Apr-02,148.125,148.125,148.125,148.125
9-Apr-02,148.625,148.625,148.625,148.625
8-Apr-02,148.5,148.5,148.5,148.5
5-Apr-02,148.875,148.875,148.875,148.875
4-Apr-02,151.75,151.75,151.75,151.75
3-Apr-02,148.25,148.25,148.25,148.25
2-Apr-02,146.875,146.875,146.875,146.875
1-Apr-02,147.875,147.875,147.875,147.875
29-Mar-02,142.875,142.875,142.875,142.875
28-Mar-02,137.875,137.875,137.875,137.875
27-Mar-02,138.375,138.375,138.375,138.375
26-Mar-02,134.25,134.25,134.25,134.25
25-Mar-02,136.375,136.375,136.375,136.375
22-Mar-02,137.875,137.875,137.875,137.875
21-Mar-02,135.125,135.125,135.125,135.125
20-Mar-02,136.25,136.25,136.25,136.25
19-Mar-02,135.375,135.375,135.375,135.375
18-Mar-02,131.625,131.625,131.625,131.625
15-Mar-02,136.125,136.125,136.125,136.125
14-Mar-02,134.5,134.5,134.5,134.5
13-Mar-02,138.375,138.375,138.375,138.375
12-Mar-02,135.25,135.25,135.25,135.25
11-Mar-02,136.625,136.625,136.625,136.625
8-Mar-02,130.5,130.5,130.5,130.5
7-Mar-02,131.625,131.625,131.625,131.625
6-Mar-02,129.375,129.375,129.375,129.375
5-Mar-02,126.125,126.125,126.125,126.125
4-Mar-02,124,124,124,124
1-Mar-02,120,120,120,120
28-Feb-02,120.25,120.25,120.25,120.25
27-Feb-02,118.25,118.25,118.25,118.25
26-Feb-02,116.875,116.875,116.875,116.875
25-Feb-02,116.625,116.625,116.625,116.625
22-Feb-02,116.375,116.375,116.375,116.375
21-Feb-02,115.875,115.875,115.875,115.875
20-Feb-02,115.75,115.75,115.75,115.75
19-Feb-02,116,116,116,116
18-Feb-02,116.875,116.875,116.875,116.875
15-Feb-02,117.375,117.375,117.375,117.375
14-Feb-02,118,118,118,118
13-Feb-02,117.333,117.333,117.333,117.333
12-Feb-02,116.667,116.667,116.667,116.667
11-Feb-02,116,116,116,116
8-Feb-02,115.25,115.25,115.25,115.25
7-Feb-02,113.375,113.375,113.375,113.375
6-Feb-02,115.25,115.25,115.25,115.25
5-Feb-02,113.375,113.375,113.375,113.375
4-Feb-02,114,114,114,114
1-Feb-02,112.75,112.75,112.75,112.75
31-Jan-02,114.75,114.75,114.75,114.75
30-Jan-02,113.875,113.875,113.875,113.875
29-Jan-02,114.25,114.25,114.25,114.25
28-Jan-02,115,115,115,115
