,Products Platt's Singapore HSFO 180 CST (Paper) 2nd month Mid,Products Platt's Singapore HSFO 180 CST (Paper) 2nd month Mid,Products Platt's Singapore HSFO 180 CST (Paper) 2nd month Mid,Products Platt's Singapore HSFO 180 CST (Paper) 2nd month Mid
29-Dec-00,124,124,124,124
28-Dec-00,126,126,126,126
27-Dec-00,126,126,126,126
26-Dec-00,126,126,126,126
25-Dec-00,126,126,126,126
22-Dec-00,126,126,126,126
21-Dec-00,125.75,125.75,125.75,125.75
20-Dec-00,130.75,130.75,130.75,130.75
19-Dec-00,134.75,134.75,134.75,134.75
18-Dec-00,132,132,132,132
15-Dec-00,127.625,127.625,127.625,127.625
14-Dec-00,136,136,136,136
13-Dec-00,142.25,142.25,142.25,142.25
12-Dec-00,144.75,144.75,144.75,144.75
11-Dec-00,143,143,143,143
8-Dec-00,141.5,141.5,141.5,141.5
7-Dec-00,146.75,146.75,146.75,146.75
6-Dec-00,145.875,145.875,145.875,145.875
5-Dec-00,150.5,150.5,150.5,150.5
4-Dec-00,153.25,153.25,153.25,153.25
1-Dec-00,157.375,157.375,157.375,157.375
30-Nov-00,159.125,159.125,159.125,159.125
29-Nov-00,157.75,157.75,157.75,157.75
28-Nov-00,162,162,162,162
27-Nov-00,159.625,159.625,159.625,159.625
24-Nov-00,158.125,158.125,158.125,158.125
23-Nov-00,162.25,162.25,162.25,162.25
22-Nov-00,162.5,162.5,162.5,162.5
21-Nov-00,164.75,164.75,164.75,164.75
20-Nov-00,167.5,167.5,167.5,167.5
17-Nov-00,160.25,160.25,160.25,160.25
16-Nov-00,165.5,165.5,165.5,165.5
15-Nov-00,167.875,167.875,167.875,167.875
14-Nov-00,166.625,166.625,166.625,166.625
13-Nov-00,163.75,163.75,163.75,163.75
10-Nov-00,161.75,161.75,161.75,161.75
9-Nov-00,159.25,159.25,159.25,159.25
8-Nov-00,161.5,161.5,161.5,161.5
7-Nov-00,160.5,160.5,160.5,160.5
6-Nov-00,155.5,155.5,155.5,155.5
3-Nov-00,161.875,161.875,161.875,161.875
2-Nov-00,164.375,164.375,164.375,164.375
1-Nov-00,166,166,166,166
31-Oct-00,170.25,170.25,170.25,170.25
30-Oct-00,171.5,171.5,171.5,171.5
27-Oct-00,174.5,174.5,174.5,174.5
26-Oct-00,175.25,175.25,175.25,175.25
25-Oct-00,176,176,176,176
24-Oct-00,175.25,175.25,175.25,175.25
23-Oct-00,176.75,176.75,176.75,176.75
20-Oct-00,175.5,175.5,175.5,175.5
19-Oct-00,175.25,175.25,175.25,175.25
18-Oct-00,177.875,177.875,177.875,177.875
17-Oct-00,177.25,177.25,177.25,177.25
16-Oct-00,178.25,178.25,178.25,178.25
13-Oct-00,185.625,185.625,185.625,185.625
12-Oct-00,176.5,176.5,176.5,176.5
11-Oct-00,180.125,180.125,180.125,180.125
10-Oct-00,173.5,173.5,173.5,173.5
9-Oct-00,172.875,172.875,172.875,172.875
6-Oct-00,169.125,169.125,169.125,169.125
5-Oct-00,167.75,167.75,167.75,167.75
4-Oct-00,168.5,168.5,168.5,168.5
3-Oct-00,169.25,169.25,169.25,169.25
2-Oct-00,169,169,169,169
29-Sep-00,168.5,168.5,168.5,168.5
28-Sep-00,171.5,171.5,171.5,171.5
27-Sep-00,172.25,172.25,172.25,172.25
26-Sep-00,168.875,168.875,168.875,168.875
25-Sep-00,165.25,165.25,165.25,165.25
22-Sep-00,175.5,175.5,175.5,175.5
21-Sep-00,178.5,178.5,178.5,178.5
20-Sep-00,180.25,180.25,180.25,180.25
19-Sep-00,179.125,179.125,179.125,179.125
18-Sep-00,178,178,178,178
15-Sep-00,175.5,175.5,175.5,175.5
14-Sep-00,172,172,172,172
13-Sep-00,168.75,168.75,168.75,168.75
12-Sep-00,177,177,177,177
11-Sep-00,164.75,164.75,164.75,164.75
8-Sep-00,171.75,171.75,171.75,171.75
7-Sep-00,175.5,175.5,175.5,175.5
6-Sep-00,172.25,172.25,172.25,172.25
5-Sep-00,172,172,172,172
4-Sep-00,167.5,167.5,167.5,167.5
1-Sep-00,165,165,165,165
31-Aug-00,165.125,165.125,165.125,165.125
30-Aug-00,162.75,162.75,162.75,162.75
29-Aug-00,163.375,163.375,163.375,163.375
28-Aug-00,159.625,159.625,159.625,159.625
25-Aug-00,160,160,160,160
24-Aug-00,163.625,163.625,163.625,163.625
23-Aug-00,164.625,164.625,164.625,164.625
22-Aug-00,164,164,164,164
21-Aug-00,158.75,158.75,158.75,158.75
18-Aug-00,156.875,156.875,156.875,156.875
17-Aug-00,153.875,153.875,153.875,153.875
16-Aug-00,149.75,149.75,149.75,149.75
15-Aug-00,151.625,151.625,151.625,151.625
14-Aug-00,148.375,148.375,148.375,148.375
11-Aug-00,148.75,148.75,148.75,148.75
10-Aug-00,147.75,147.75,147.75,147.75
9-Aug-00,147.375,147.375,147.375,147.375
8-Aug-00,147,147,147,147
7-Aug-00,151,151,151,151
4-Aug-00,147.625,147.625,147.625,147.625
3-Aug-00,146,146,146,146
2-Aug-00,145.5,145.5,145.5,145.5
1-Aug-00,141.125,141.125,141.125,141.125
31-Jul-00,144.5,144.5,144.5,144.5
28-Jul-00,145,145,145,145
27-Jul-00,142.375,142.375,142.375,142.375
26-Jul-00,141.5,141.5,141.5,141.5
25-Jul-00,143.25,143.25,143.25,143.25
24-Jul-00,147,147,147,147
21-Jul-00,150.5,150.5,150.5,150.5
