  Date,   Open,   High,    Low,  Close,    Vol,OpenInt
31-Dec-92,0.6795,0.6798,0.6768,0.6781,3507,49692
30-Dec-92,0.6812,0.6829,0.6787,0.68,8020,49702
29-Dec-92,0.675,0.6794,0.675,0.6783,14311,48548
28-Dec-92,0.6858,0.6869,0.674,0.676,13702,47834
24-Dec-92,0.6902,0.6902,0.6855,0.686,5691,42506
23-Dec-92,0.6905,0.691,0.6868,0.6871,11858,40003
22-Dec-92,0.6957,0.6957,0.6866,0.6871,16307,36979
21-Dec-92,0.7038,0.7038,0.7011,0.7026,5649,34128
18-Dec-92,0.7058,0.7065,0.7009,0.7051,16435,33435
17-Dec-92,0.7153,0.7176,0.7081,0.7088,18743,32128
16-Dec-92,0.7085,0.7123,0.7081,0.7098,12093,31452
15-Dec-92,0.7043,0.7067,0.7035,0.7041,6248,31294
14-Dec-92,0.7059,0.7068,0.7029,0.7047,12051,50270
11-Dec-92,0.7048,0.7076,0.7032,0.7052,13583,52215
10-Dec-92,0.7023,0.7105,0.7012,0.7049,20166,52077
9-Dec-92,0.702,0.7074,0.7006,0.7045,27114,52020
8-Dec-92,0.7153,0.7162,0.7074,0.7118,32203,49058
7-Dec-92,0.702,0.714,0.7006,0.7122,46111,47780
4-Dec-92,0.7076,0.709,0.6965,0.6998,31017,46524
3-Dec-92,0.7091,0.7129,0.7055,0.7064,22546,46897
2-Dec-92,0.7096,0.7182,0.708,0.716,31187,47539
1-Dec-92,0.6975,0.714,0.6965,0.712,35529,46638
30-Nov-92,0.6911,0.6972,0.6903,0.6962,16706,48022
27-Nov-92,0.6902,0.6938,0.6892,0.6918,9618,48455
25-Nov-92,0.6984,0.7015,0.6947,0.6985,15078,48557
24-Nov-92,0.691,0.6975,0.6887,0.6973,19888,48957
23-Nov-92,0.6897,0.6984,0.6889,0.696,20028,49182
20-Nov-92,0.6997,0.7027,0.687,0.6893,27366,48923
19-Nov-92,0.694,0.7042,0.6895,0.7032,27753,48135
18-Nov-92,0.6904,0.6904,0.6843,0.6894,20756,47700
17-Nov-92,0.685,0.689,0.6836,0.6888,20312,46606
16-Nov-92,0.6962,0.6966,0.6918,0.6934,17798,45661
13-Nov-92,0.7054,0.7072,0.701,0.7044,19148,44866
12-Nov-92,0.6951,0.6987,0.694,0.6984,13717,44296
11-Nov-92,0.6936,0.6981,0.6921,0.6962,14690,44653
10-Nov-92,0.693,0.6966,0.6903,0.6935,21952,44031
9-Nov-92,0.697,0.702,0.6949,0.6956,18252,44845
6-Nov-92,0.7,0.7015,0.6933,0.6949,21978,44252
5-Nov-92,0.704,0.7056,0.7012,0.7017,24413,42668
4-Nov-92,0.7145,0.718,0.707,0.7074,23761,40836
3-Nov-92,0.7112,0.719,0.7112,0.712,17891,38934
2-Nov-92,0.719,0.719,0.711,0.7118,20440,38997
30-Oct-92,0.7259,0.727,0.7229,0.7247,10581,36610
29-Oct-92,0.7253,0.7292,0.7227,0.7253,16604,36283
28-Oct-92,0.7292,0.7311,0.721,0.7238,20812,36449
27-Oct-92,0.7268,0.734,0.7235,0.7338,27097,36367
26-Oct-92,0.7246,0.7305,0.7238,0.7272,25050,38956
23-Oct-92,0.7324,0.7345,0.7245,0.7307,21654,39821
22-Oct-92,0.74,0.7419,0.7352,0.7401,26895,37705
21-Oct-92,0.7345,0.7409,0.7324,0.7335,22093,38904
20-Oct-92,0.7398,0.7401,0.7272,0.7341,30782,39292
19-Oct-92,0.7528,0.7561,0.7435,0.7445,19792,35429
16-Oct-92,0.7614,0.7654,0.7515,0.7534,22588,33556
15-Oct-92,0.7678,0.7705,0.7626,0.7652,19204,32791
14-Oct-92,0.7595,0.7655,0.7565,0.7642,23252,32702
13-Oct-92,0.751,0.762,0.7489,0.7596,24470,32660
12-Oct-92,0.7548,0.762,0.7545,0.7617,12522,32881
9-Oct-92,0.7588,0.7619,0.751,0.7571,27419,33301
8-Oct-92,0.7642,0.7695,0.7537,0.7548,36566,32040
7-Oct-92,0.798,0.8001,0.7802,0.7808,16951,31967
6-Oct-92,0.8007,0.8007,0.794,0.7968,18622,32311
5-Oct-92,0.812,0.8209,0.8009,0.8012,29185,32590
2-Oct-92,0.8035,0.808,0.787,0.8076,24972,32137
1-Oct-92,0.8041,0.8072,0.7948,0.7986,22858,30139
30-Sep-92,0.8073,0.8081,0.7988,0.8023,23192,29557
29-Sep-92,0.7975,0.8076,0.7915,0.807,30939,29244
28-Sep-92,0.7762,0.7841,0.7737,0.7821,18746,29323
25-Sep-92,0.766,0.7685,0.7619,0.7665,14301,29557
24-Sep-92,0.7655,0.7658,0.752,0.7607,21606,29257
23-Sep-92,0.755,0.7615,0.7539,0.7588,23807,28041
22-Sep-92,0.7684,0.7716,0.758,0.761,20983,27176
21-Sep-92,0.7565,0.7628,0.752,0.7612,19151,25922
18-Sep-92,0.7661,0.7698,0.757,0.7607,16802,24896
17-Sep-92,0.7595,0.7695,0.757,0.7679,26853,25158
16-Sep-92,0.7565,0.7584,0.7461,0.755,31364,24751
15-Sep-92,0.7593,0.7637,0.75,0.7502,28731,21468
14-Sep-92,0.7533,0.7558,0.746,0.7509,25346,34599
11-Sep-92,0.7781,0.7785,0.7646,0.7683,35060,36891
10-Sep-92,0.7872,0.7955,0.7825,0.7827,39465,40594
9-Sep-92,0.7915,0.7949,0.7875,0.7888,34534,42238
8-Sep-92,0.796,0.8023,0.7955,0.7998,34525,43761
4-Sep-92,0.7817,0.802,0.7817,0.7994,27235,40543
3-Sep-92,0.8032,0.8036,0.7888,0.7906,27512,40305
2-Sep-92,0.8078,0.8081,0.8025,0.8048,19270,40120
1-Sep-92,0.805,0.808,0.8015,0.8077,21545,39438
31-Aug-92,0.7922,0.8025,0.7922,0.799,17940,39307
28-Aug-92,0.7939,0.7965,0.7909,0.7915,16396,38610
27-Aug-92,0.7883,0.7926,0.7862,0.7919,20377,37759
26-Aug-92,0.7935,0.7976,0.7907,0.7929,18134,37662
25-Aug-92,0.7983,0.8055,0.794,0.8006,28060,36620
24-Aug-92,0.7923,0.8044,0.7923,0.8026,27066,35300
21-Aug-92,0.7742,0.7879,0.7686,0.7849,23832,35363
20-Aug-92,0.7688,0.7748,0.7683,0.7742,16279,33873
19-Aug-92,0.7614,0.767,0.7598,0.7668,14693,33127
18-Aug-92,0.759,0.763,0.7578,0.7628,12186,31398
17-Aug-92,0.7552,0.7584,0.7551,0.7563,11363,31563
14-Aug-92,0.7542,0.7553,0.7497,0.7546,21422,33352
13-Aug-92,0.7533,0.762,0.7503,0.7617,21185,34165
12-Aug-92,0.7513,0.7551,0.751,0.754,13259,30708
11-Aug-92,0.754,0.7544,0.749,0.7543,15442,30794
10-Aug-92,0.7556,0.7581,0.7543,0.7576,8724,31494
7-Aug-92,0.7517,0.7592,0.746,0.7582,23961,31764
6-Aug-92,0.7471,0.75,0.7458,0.7496,16959,31764
5-Aug-92,0.7505,0.7528,0.744,0.745,14139,31466
4-Aug-92,0.7513,0.7547,0.7502,0.7514,11514,30872
3-Aug-92,0.7546,0.7554,0.7518,0.755,13544,30906
31-Jul-92,0.7557,0.7572,0.752,0.7532,19609,31667
30-Jul-92,0.7506,0.7532,0.7463,0.753,18293,29900
29-Jul-92,0.7603,0.7607,0.7515,0.7538,17517,31134
28-Jul-92,0.7604,0.763,0.7557,0.7622,14884,30579
27-Jul-92,0.7558,0.7587,0.7542,0.7578,15062,29376
24-Jul-92,0.7558,0.7563,0.7444,0.7455,17218,30068
23-Jul-92,0.7528,0.7553,0.7514,0.7538,12938,28663
