Date,Open,High,Low,Close
13-Jun-00,3101.90,3101.90,3065.10,3071.30
9-Jun-00,3083.40,3107.90,3073.70,3101.90
8-Jun-00,3070.80,3089.70,3069.10,3083.40
7-Jun-00,3105.80,3107,3070.80,3070.80
6-Jun-00,3105.10,3107.40,3090.90,3105.80
5-Jun-00,3096.30,3124,3096.30,3105.10
2-Jun-00,3047.80,3098.50,3047.80,3096.30
1-Jun-00,3040.60,3047.80,3027.90,3047.80
31-May-00,3010.80,3062.30,3010.80,3040.60
30-May-00,2996,3010.80,2994.80,3010.80
29-May-00,2963,2996,2963,2996
26-May-00,2979.80,2979.80,2960.10,2964.30
25-May-00,2972.20,2992.40,2972.20,2979.80
24-May-00,2985.90,2985.90,2951.80,2972.20
23-May-00,2969,2985.90,2969,2985.90
22-May-00,3005.40,3005.40,2962.80,2969
19-May-00,3011.90,3018.80,3000,3005.40
18-May-00,3040.10,3040.10,3009.20,3011.90
17-May-00,3053.10,3055.60,3033.90,3040.10
16-May-00,3018.60,3054.20,3018.60,3053.10
15-May-00,3004,3025.50,3001.20,3018.60
12-May-00,2966.80,3012.70,2966.80,3004
11-May-00,3011.80,3011.80,2958.20,2966.80
10-May-00,3054.60,3054.60,3003,3011.80
9-May-00,3075.10,3075.60,3054.60,3054.60
8-May-00,3075.60,3091.80,3073.20,3075.10
5-May-00,3025.90,3075.60,3025.90,3075.60
4-May-00,3076.70,3076.70,3021.90,3025.90
3-May-00,3099.10,3099.10,3073.20,3076.70
2-May-00,3071.80,3099.80,3071.80,3099.10
1-May-00,3085.10,3093.90,3071.80,3071.80
28-Apr-00,3073.10,3087.90,3056.70,3085.10
27-Apr-00,3084.50,3084.50,3058.40,3073.10
26-Apr-00,3041.50,3095.90,3041.50,3084.50
20-Apr-00,3042.30,3044.90,3013.10,3041.50
19-Apr-00,2986.50,3046,2986.50,3042.30
18-Apr-00,2920,3011.20,2919.90,2986.50
17-Apr-00,3096,3096,2883,2920
14-Apr-00,3084.70,3097.80,3059.60,3096
13-Apr-00,3133.40,3133.40,3074.90,3084.70
12-Apr-00,3155.40,3155.40,3123.70,3133.40
11-Apr-00,3187.30,3187.30,3148,3155.40
10-Apr-00,3168.20,3187.30,3166.10,3187.30
7-Apr-00,3142.40,3178.80,3142.40,3168.20
6-Apr-00,3137.80,3150.40,3124.20,3142.40
5-Apr-00,3163.50,3163.50,3125.70,3137.80
4-Apr-00,3183.20,3189.40,3158.50,3163.50
3-Apr-00,3133.30,3183.20,3133.30,3183.20
31-Mar-00,3194.80,3194.80,3133.30,3133.30
30-Mar-00,3228.50,3228.50,3194.80,3194.80
29-Mar-00,3240.80,3246.20,3219.30,3228.50
28-Mar-00,3225.60,3240.80,3204,3240.80
27-Mar-00,3247.40,3255.50,3223.90,3225.60
24-Mar-00,3243.50,3259.70,3233.90,3247.40
23-Mar-00,3274.10,3276.70,3238.90,3243.50
22-Mar-00,3242.20,3276.20,3242.20,3274.10
