,Futures IPE Brent 1st month Close,Futures IPE Brent 1st month Close,Futures IPE Brent 1st month Close,Futures IPE Brent 1st month Close
29-Dec-00,23.87,23.87,23.87,23.87
28-Dec-00,23.71,23.71,23.71,23.71
27-Dec-00,24.04,24.04,24.04,24.04
26-Dec-00,23.91,23.91,23.91,23.91
25-Dec-00,23.79,23.79,23.79,23.79
22-Dec-00,23.66,23.66,23.66,23.66
21-Dec-00,23.61,23.61,23.61,23.61
20-Dec-00,22.97,22.97,22.97,22.97
19-Dec-00,25,25,25,25
18-Dec-00,26.24,26.24,26.24,26.24
15-Dec-00,25.89,25.89,25.89,25.89
14-Dec-00,25.36,25.36,25.36,25.36
13-Dec-00,25.14,25.14,25.14,25.14
12-Dec-00,27.06,27.06,27.06,27.06
11-Dec-00,27.54,27.54,27.54,27.54
8-Dec-00,26.56,26.56,26.56,26.56
7-Dec-00,27.47,27.47,27.47,27.47
6-Dec-00,28.01,28.01,28.01,28.01
5-Dec-00,27.79,27.79,27.79,27.79
4-Dec-00,29.34,29.34,29.34,29.34
1-Dec-00,30.17,30.17,30.17,30.17
30-Nov-00,31.88,31.88,31.88,31.88
29-Nov-00,32.68,32.68,32.68,32.68
28-Nov-00,32.19,32.19,32.19,32.19
27-Nov-00,33.06,33.06,33.06,33.06
24-Nov-00,33.12,33.12,33.12,33.12
23-Nov-00,32.68,32.68,32.68,32.68
22-Nov-00,32.59,32.59,32.59,32.59
21-Nov-00,33.1,33.1,33.1,33.1
20-Nov-00,33.07,33.07,33.07,33.07
17-Nov-00,33.08,33.08,33.08,33.08
16-Nov-00,32.77,32.77,32.77,32.77
15-Nov-00,33.9,33.9,33.9,33.9
14-Nov-00,32.69,32.69,32.69,32.69
13-Nov-00,32.94,32.94,32.94,32.94
10-Nov-00,32.02,32.02,32.02,32.02
9-Nov-00,32.16,32.16,32.16,32.16
8-Nov-00,31.32,31.32,31.32,31.32
7-Nov-00,31.68,31.68,31.68,31.68
6-Nov-00,31.29,31.29,31.29,31.29
3-Nov-00,30.85,30.85,30.85,30.85
2-Nov-00,30.78,30.78,30.78,30.78
1-Nov-00,31.31,31.31,31.31,31.31
31-Oct-00,30.76,30.76,30.76,30.76
30-Oct-00,31.14,31.14,31.14,31.14
27-Oct-00,30.95,30.95,30.95,30.95
26-Oct-00,31.96,31.96,31.96,31.96
25-Oct-00,31.36,31.36,31.36,31.36
24-Oct-00,31.59,31.59,31.59,31.59
23-Oct-00,32.09,32.09,32.09,32.09
20-Oct-00,31.62,31.62,31.62,31.62
19-Oct-00,30.74,30.74,30.74,30.74
18-Oct-00,31.1,31.1,31.1,31.1
17-Oct-00,31.13,31.13,31.13,31.13
16-Oct-00,31.9,31.9,31.9,31.9
13-Oct-00,32.52,32.52,32.52,32.52
12-Oct-00,34.59,34.59,34.59,34.59
11-Oct-00,31.79,31.79,31.79,31.79
10-Oct-00,31.85,31.85,31.85,31.85
9-Oct-00,30.76,30.76,30.76,30.76
6-Oct-00,30.1,30.1,30.1,30.1
5-Oct-00,29.89,29.89,29.89,29.89
4-Oct-00,30.52,30.52,30.52,30.52
3-Oct-00,31.05,31.05,31.05,31.05
2-Oct-00,31.08,31.08,31.08,31.08
29-Sep-00,29.84,29.84,29.84,29.84
28-Sep-00,29.26,29.26,29.26,29.26
27-Sep-00,30.54,30.54,30.54,30.54
26-Sep-00,30.42,30.42,30.42,30.42
25-Sep-00,30.24,30.24,30.24,30.24
22-Sep-00,31.25,31.25,31.25,31.25
21-Sep-00,32.73,32.73,32.73,32.73
20-Sep-00,33.74,33.74,33.74,33.74
19-Sep-00,33.63,33.63,33.63,33.63
18-Sep-00,34.46,34.46,34.46,34.46
15-Sep-00,33.98,33.98,33.98,33.98
14-Sep-00,31.94,31.94,31.94,31.94
13-Sep-00,31.53,31.53,31.53,31.53
12-Sep-00,32.48,32.48,32.48,32.48
11-Sep-00,33.62,33.62,33.62,33.62
8-Sep-00,32.78,32.78,32.78,32.78
7-Sep-00,34.55,34.55,34.55,34.55
6-Sep-00,34.28,34.28,34.28,34.28
5-Sep-00,32.98,32.98,32.98,32.98
4-Sep-00,32.84,32.84,32.84,32.84
1-Sep-00,31.85,31.85,31.85,31.85
31-Aug-00,31.72,31.72,31.72,31.72
30-Aug-00,31.98,31.98,31.98,31.98
29-Aug-00,31.36,31.36,31.36,31.36
28-Aug-00,30.88,30.88,30.88,30.88
25-Aug-00,30.39,30.39,30.39,30.39
24-Aug-00,30.35,30.35,30.35,30.35
23-Aug-00,30.69,30.69,30.69,30.69
22-Aug-00,29.93,29.93,29.93,29.93
21-Aug-00,30.6,30.6,30.6,30.6
18-Aug-00,30.44,30.44,30.44,30.44
17-Aug-00,30.16,30.16,30.16,30.16
16-Aug-00,32.53,32.53,32.53,32.53
15-Aug-00,32.18,32.18,32.18,32.18
14-Aug-00,31.48,31.48,31.48,31.48
11-Aug-00,30.57,30.57,30.57,30.57
10-Aug-00,30.88,30.88,30.88,30.88
9-Aug-00,29.87,29.87,29.87,29.87
8-Aug-00,28.9,28.9,28.9,28.9
7-Aug-00,28.52,28.52,28.52,28.52
4-Aug-00,29.37,29.37,29.37,29.37
3-Aug-00,28.31,28.31,28.31,28.31
2-Aug-00,27.59,27.59,27.59,27.59
1-Aug-00,27.14,27.14,27.14,27.14
31-Jul-00,26.93,26.93,26.93,26.93
28-Jul-00,27.36,27.36,27.36,27.36
27-Jul-00,27.15,27.15,27.15,27.15
26-Jul-00,26.83,26.83,26.83,26.83
25-Jul-00,26.94,26.94,26.94,26.94
24-Jul-00,26.92,26.92,26.92,26.92
21-Jul-00,27.52,27.52,27.52,27.52
20-Jul-00,28.27,28.27,28.27,28.27
19-Jul-00,28.88,28.88,28.88,28.88
18-Jul-00,29.32,29.32,29.32,29.32
17-Jul-00,28.56,28.56,28.56,28.56
14-Jul-00,29.23,29.23,29.23,29.23
13-Jul-00,30.26,30.26,30.26,30.26
12-Jul-00,29.67,29.67,29.67,29.67
11-Jul-00,29.22,29.22,29.22,29.22
10-Jul-00,28.85,28.85,28.85,28.85
7-Jul-00,29.7,29.7,29.7,29.7
6-Jul-00,29.67,29.67,29.67,29.67
5-Jul-00,29.38,29.38,29.38,29.38
4-Jul-00,29.58,29.58,29.58,29.58
3-Jul-00,31.1,31.1,31.1,31.1
30-Jun-00,30.57,30.57,30.57,30.57
29-Jun-00,30.8,30.8,30.8,30.8
28-Jun-00,30.11,30.11,30.11,30.11
27-Jun-00,30.24,30.24,30.24,30.24
26-Jun-00,29.75,29.75,29.75,29.75
23-Jun-00,30.39,30.39,30.39,30.39
22-Jun-00,30.15,30.15,30.15,30.15
21-Jun-00,29.33,29.33,29.33,29.33
20-Jun-00,29.02,29.02,29.02,29.02
19-Jun-00,27.98,27.98,27.98,27.98
16-Jun-00,28.35,28.35,28.35,28.35
15-Jun-00,29.39,29.39,29.39,29.39
14-Jun-00,31.02,31.02,31.02,31.02
13-Jun-00,31.49,31.49,31.49,31.49
12-Jun-00,31.21,31.21,31.21,31.21
9-Jun-00,29.58,29.58,29.58,29.58
8-Jun-00,29.07,29.07,29.07,29.07
7-Jun-00,29.22,29.22,29.22,29.22
6-Jun-00,28.59,28.59,28.59,28.59
5-Jun-00,28.37,28.37,28.37,28.37
2-Jun-00,29.05,29.05,29.05,29.05
1-Jun-00,29.19,29.19,29.19,29.19
31-May-00,28.31,28.31,28.31,28.31
30-May-00,28.96,28.96,28.96,28.96
29-May-00,29.09,29.09,29.09,29.09
26-May-00,29.22,29.22,29.22,29.22
25-May-00,29.19,29.19,29.19,29.19
24-May-00,28.61,28.61,28.61,28.61
23-May-00,27.5,27.5,27.5,27.5
22-May-00,27.43,27.43,27.43,27.43
19-May-00,28.59,28.59,28.59,28.59
18-May-00,28.92,28.92,28.92,28.92
17-May-00,27.89,27.89,27.89,27.89
16-May-00,28.1,28.1,28.1,28.1
15-May-00,28.33,28.33,28.33,28.33
12-May-00,28.05,28.05,28.05,28.05
11-May-00,27.45,27.45,27.45,27.45
10-May-00,26.42,26.42,26.42,26.42
9-May-00,26.82,26.82,26.82,26.82
8-May-00,26.08,26.08,26.08,26.08
5-May-00,25.29,25.29,25.29,25.29
4-May-00,25.15,25.15,25.15,25.15
3-May-00,25,25,25,25
2-May-00,25.08,25.08,25.08,25.08
1-May-00,24.48,24.48,24.48,24.48
28-Apr-00,23.89,23.89,23.89,23.89
27-Apr-00,23.76,23.76,23.76,23.76
26-Apr-00,22.98,22.98,22.98,22.98
25-Apr-00,23.33,23.33,23.33,23.33
24-Apr-00,23.5,23.5,23.5,23.5
21-Apr-00,23.66,23.66,23.66,23.66
20-Apr-00,23.83,23.83,23.83,23.83
19-Apr-00,23.77,23.77,23.77,23.77
18-Apr-00,23.05,23.05,23.05,23.05
17-Apr-00,22.74,22.74,22.74,22.74
14-Apr-00,22.41,22.41,22.41,22.41
13-Apr-00,22.79,22.79,22.79,22.79
12-Apr-00,23.12,23.12,23.12,23.12
11-Apr-00,21.67,21.67,21.67,21.67
10-Apr-00,21.3,21.3,21.3,21.3
7-Apr-00,22.58,22.58,22.58,22.58
6-Apr-00,23.45,23.45,23.45,23.45
5-Apr-00,23.75,23.75,23.75,23.75
4-Apr-00,23.65,23.65,23.65,23.65
3-Apr-00,24.51,24.51,24.51,24.51
31-Mar-00,24.77,24.77,24.77,24.77
30-Mar-00,24.63,24.63,24.63,24.63
29-Mar-00,24.4,24.4,24.4,24.4
28-Mar-00,25.51,25.51,25.51,25.51
27-Mar-00,25.68,25.68,25.68,25.68
24-Mar-00,25.91,25.91,25.91,25.91
23-Mar-00,25.48,25.48,25.48,25.48
22-Mar-00,25.4,25.4,25.4,25.4
21-Mar-00,25.72,25.72,25.72,25.72
20-Mar-00,25.21,25.21,25.21,25.21
17-Mar-00,26.56,26.56,26.56,26.56
16-Mar-00,26.78,26.78,26.78,26.78
15-Mar-00,27.53,27.53,27.53,27.53
14-Mar-00,28.34,28.34,28.34,28.34
13-Mar-00,28.89,28.89,28.89,28.89
10-Mar-00,28.94,28.94,28.94,28.94
9-Mar-00,29.29,29.29,29.29,29.29
8-Mar-00,28.8,28.8,28.8,28.8
7-Mar-00,31.9,31.9,31.9,31.9
6-Mar-00,29.63,29.63,29.63,29.63
3-Mar-00,28.99,28.99,28.99,28.99
2-Mar-00,29.22,29.22,29.22,29.22
1-Mar-00,29.06,29.06,29.06,29.06
29-Feb-00,28.09,28.09,28.09,28.09
28-Feb-00,27.41,27.41,27.41,27.41
