,Futures IPE Brent 2nd month Close,Futures IPE Brent 2nd month Close,Futures IPE Brent 2nd month Close,Futures IPE Brent 2nd month Close
29-Dec-00,23.88,23.88,23.88,23.88
28-Dec-00,23.65,23.65,23.65,23.65
27-Dec-00,23.89,23.89,23.89,23.89
26-Dec-00,23.77,23.77,23.77,23.77
25-Dec-00,23.64,23.64,23.64,23.64
22-Dec-00,23.52,23.52,23.52,23.52
21-Dec-00,23.6,23.6,23.6,23.6
20-Dec-00,22.92,22.92,22.92,22.92
19-Dec-00,25.14,25.14,25.14,25.14
18-Dec-00,26.3,26.3,26.3,26.3
15-Dec-00,25.75,25.75,25.75,25.75
14-Dec-00,25.53,25.53,25.53,25.53
13-Dec-00,25.93,25.93,25.93,25.93
12-Dec-00,27.37,27.37,27.37,27.37
11-Dec-00,27.46,27.46,27.46,27.46
8-Dec-00,26.65,26.65,26.65,26.65
7-Dec-00,27.43,27.43,27.43,27.43
6-Dec-00,27.9,27.9,27.9,27.9
5-Dec-00,27.77,27.77,27.77,27.77
4-Dec-00,28.85,28.85,28.85,28.85
1-Dec-00,29.75,29.75,29.75,29.75
30-Nov-00,31.33,31.33,31.33,31.33
29-Nov-00,31.89,31.89,31.89,31.89
28-Nov-00,31.51,31.51,31.51,31.51
27-Nov-00,32.38,32.38,32.38,32.38
24-Nov-00,32.48,32.48,32.48,32.48
23-Nov-00,31.55,31.55,31.55,31.55
22-Nov-00,31.5,31.5,31.5,31.5
21-Nov-00,32.48,32.48,32.48,32.48
20-Nov-00,32.45,32.45,32.45,32.45
17-Nov-00,32.22,32.22,32.22,32.22
16-Nov-00,31.88,31.88,31.88,31.88
15-Nov-00,33.17,33.17,33.17,33.17
14-Nov-00,32.15,32.15,32.15,32.15
13-Nov-00,31.65,31.65,31.65,31.65
10-Nov-00,31.36,31.36,31.36,31.36
9-Nov-00,31.6,31.6,31.6,31.6
8-Nov-00,30.82,30.82,30.82,30.82
7-Nov-00,30.87,30.87,30.87,30.87
6-Nov-00,30.54,30.54,30.54,30.54
3-Nov-00,30.25,30.25,30.25,30.25
2-Nov-00,30.03,30.03,30.03,30.03
1-Nov-00,30.51,30.51,30.51,30.51
31-Oct-00,30.15,30.15,30.15,30.15
30-Oct-00,30.54,30.54,30.54,30.54
27-Oct-00,30.35,30.35,30.35,30.35
26-Oct-00,31.35,31.35,31.35,31.35
25-Oct-00,30.9,30.9,30.9,30.9
24-Oct-00,31.05,31.05,31.05,31.05
23-Oct-00,31.52,31.52,31.52,31.52
20-Oct-00,31.19,31.19,31.19,31.19
19-Oct-00,30.4,30.4,30.4,30.4
18-Oct-00,30.81,30.81,30.81,30.81
17-Oct-00,30.92,30.92,30.92,30.92
16-Oct-00,30.88,30.88,30.88,30.88
13-Oct-00,32.58,32.58,32.58,32.58
12-Oct-00,34.47,34.47,34.47,34.47
11-Oct-00,32.17,32.17,32.17,32.17
10-Oct-00,32.13,32.13,32.13,32.13
9-Oct-00,31,31,31,31
6-Oct-00,30.22,30.22,30.22,30.22
5-Oct-00,30.13,30.13,30.13,30.13
4-Oct-00,30.65,30.65,30.65,30.65
3-Oct-00,31.17,31.17,31.17,31.17
2-Oct-00,31.03,31.03,31.03,31.03
29-Sep-00,30,30,30,30
28-Sep-00,29.58,29.58,29.58,29.58
27-Sep-00,30.71,30.71,30.71,30.71
26-Sep-00,30.67,30.67,30.67,30.67
25-Sep-00,30.35,30.35,30.35,30.35
22-Sep-00,31.2,31.2,31.2,31.2
21-Sep-00,32.42,32.42,32.42,32.42
20-Sep-00,33.25,33.25,33.25,33.25
19-Sep-00,33.26,33.26,33.26,33.26
18-Sep-00,34,34,34,34
15-Sep-00,33.43,33.43,33.43,33.43
14-Sep-00,32.29,32.29,32.29,32.29
13-Sep-00,32,32,32,32
12-Sep-00,32.68,32.68,32.68,32.68
11-Sep-00,33.58,33.58,33.58,33.58
8-Sep-00,32.15,32.15,32.15,32.15
7-Sep-00,33.84,33.84,33.84,33.84
6-Sep-00,33.34,33.34,33.34,33.34
5-Sep-00,32.3,32.3,32.3,32.3
4-Sep-00,32.4,32.4,32.4,32.4
1-Sep-00,31.42,31.42,31.42,31.42
31-Aug-00,31.23,31.23,31.23,31.23
30-Aug-00,31.47,31.47,31.47,31.47
29-Aug-00,30.84,30.84,30.84,30.84
28-Aug-00,30.46,30.46,30.46,30.46
25-Aug-00,30.08,30.08,30.08,30.08
24-Aug-00,29.93,29.93,29.93,29.93
23-Aug-00,30.39,30.39,30.39,30.39
22-Aug-00,29.49,29.49,29.49,29.49
21-Aug-00,30.09,30.09,30.09,30.09
18-Aug-00,29.86,29.86,29.86,29.86
17-Aug-00,29.53,29.53,29.53,29.53
16-Aug-00,29.74,29.74,29.74,29.74
15-Aug-00,29.51,29.51,29.51,29.51
