,Futures IPE Gas Oil 1st month Close,Futures IPE Gas Oil 1st month Close,Futures IPE Gas Oil 1st month Close,Futures IPE Gas Oil 1st month Close
29-Dec-00,245,245,245,245
28-Dec-00,243,243,243,243
27-Dec-00,246,246,246,246
26-Dec-00,241,241,241,241
25-Dec-00,236,236,236,236
22-Dec-00,231,231,231,231
21-Dec-00,235.5,235.5,235.5,235.5
20-Dec-00,239.25,239.25,239.25,239.25
19-Dec-00,244.25,244.25,244.25,244.25
18-Dec-00,250,250,250,250
15-Dec-00,240,240,240,240
14-Dec-00,236,236,236,236
13-Dec-00,257.25,257.25,257.25,257.25
12-Dec-00,253,253,253,253
11-Dec-00,260,260,260,260
8-Dec-00,260,260,260,260
7-Dec-00,272.5,272.5,272.5,272.5
6-Dec-00,272.25,272.25,272.25,272.25
5-Dec-00,282.25,282.25,282.25,282.25
4-Dec-00,293.25,293.25,293.25,293.25
1-Dec-00,294.75,294.75,294.75,294.75
30-Nov-00,304.5,304.5,304.5,304.5
29-Nov-00,296,296,296,296
28-Nov-00,294,294,294,294
27-Nov-00,309.5,309.5,309.5,309.5
24-Nov-00,315.5,315.5,315.5,315.5
23-Nov-00,308,308,308,308
22-Nov-00,308.25,308.25,308.25,308.25
21-Nov-00,318.25,318.25,318.25,318.25
20-Nov-00,322.75,322.75,322.75,322.75
17-Nov-00,309.75,309.75,309.75,309.75
16-Nov-00,310.75,310.75,310.75,310.75
15-Nov-00,313,313,313,313
14-Nov-00,301.75,301.75,301.75,301.75
13-Nov-00,296.5,296.5,296.5,296.5
10-Nov-00,298.25,298.25,298.25,298.25
9-Nov-00,300.5,300.5,300.5,300.5
8-Nov-00,286.5,286.5,286.5,286.5
7-Nov-00,285.5,285.5,285.5,285.5
6-Nov-00,277,277,277,277
3-Nov-00,280.5,280.5,280.5,280.5
2-Nov-00,286,286,286,286
1-Nov-00,291,291,291,291
31-Oct-00,281.25,281.25,281.25,281.25
30-Oct-00,290.25,290.25,290.25,290.25
27-Oct-00,293,293,293,293
26-Oct-00,296,296,296,296
25-Oct-00,296.5,296.5,296.5,296.5
24-Oct-00,303.25,303.25,303.25,303.25
23-Oct-00,297.25,297.25,297.25,297.25
20-Oct-00,294.5,294.5,294.5,294.5
19-Oct-00,299.75,299.75,299.75,299.75
18-Oct-00,297.5,297.5,297.5,297.5
17-Oct-00,294.25,294.25,294.25,294.25
16-Oct-00,307.75,307.75,307.75,307.75
13-Oct-00,321,321,321,321
12-Oct-00,329.5,329.5,329.5,329.5
11-Oct-00,317.5,317.5,317.5,317.5
10-Oct-00,313.5,313.5,313.5,313.5
9-Oct-00,298.25,298.25,298.25,298.25
6-Oct-00,290.25,290.25,290.25,290.25
5-Oct-00,287.25,287.25,287.25,287.25
4-Oct-00,295.5,295.5,295.5,295.5
3-Oct-00,298.25,298.25,298.25,298.25
2-Oct-00,299.25,299.25,299.25,299.25
29-Sep-00,287.75,287.75,287.75,287.75
28-Sep-00,286.25,286.25,286.25,286.25
27-Sep-00,294.5,294.5,294.5,294.5
26-Sep-00,289.75,289.75,289.75,289.75
25-Sep-00,300.25,300.25,300.25,300.25
22-Sep-00,315,315,315,315
21-Sep-00,317,317,317,317
20-Sep-00,323,323,323,323
19-Sep-00,320.25,320.25,320.25,320.25
18-Sep-00,329.75,329.75,329.75,329.75
15-Sep-00,323,323,323,323
14-Sep-00,311.25,311.25,311.25,311.25
13-Sep-00,319,319,319,319
12-Sep-00,330.25,330.25,330.25,330.25
11-Sep-00,337.5,337.5,337.5,337.5
8-Sep-00,322.5,322.5,322.5,322.5
7-Sep-00,326.25,326.25,326.25,326.25
6-Sep-00,319,319,319,319
5-Sep-00,313.75,313.75,313.75,313.75
4-Sep-00,317.25,317.25,317.25,317.25
1-Sep-00,310,310,310,310
31-Aug-00,311.5,311.5,311.5,311.5
30-Aug-00,309.5,309.5,309.5,309.5
29-Aug-00,313.25,313.25,313.25,313.25
28-Aug-00,307.75,307.75,307.75,307.75
25-Aug-00,302.25,302.25,302.25,302.25
24-Aug-00,299.5,299.5,299.5,299.5
23-Aug-00,298.5,298.5,298.5,298.5
22-Aug-00,287.25,287.25,287.25,287.25
21-Aug-00,288.25,288.25,288.25,288.25
18-Aug-00,282.25,282.25,282.25,282.25
17-Aug-00,278.25,278.25,278.25,278.25
16-Aug-00,269.75,269.75,269.75,269.75
15-Aug-00,271.5,271.5,271.5,271.5
14-Aug-00,268.5,268.5,268.5,268.5
11-Aug-00,269.5,269.5,269.5,269.5
10-Aug-00,261.75,261.75,261.75,261.75
9-Aug-00,258,258,258,258
8-Aug-00,249.75,249.75,249.75,249.75
7-Aug-00,251.5,251.5,251.5,251.5
4-Aug-00,251.75,251.75,251.75,251.75
3-Aug-00,245.5,245.5,245.5,245.5
2-Aug-00,245.75,245.75,245.75,245.75
1-Aug-00,240,240,240,240
31-Jul-00,239.5,239.5,239.5,239.5
28-Jul-00,245.75,245.75,245.75,245.75
27-Jul-00,246,246,246,246
26-Jul-00,245.75,245.75,245.75,245.75
25-Jul-00,245,245,245,245
24-Jul-00,245.25,245.25,245.25,245.25
21-Jul-00,247.75,247.75,247.75,247.75
20-Jul-00,253,253,253,253
