,Futures IPE Gas Oil 2nd month Close,Futures IPE Gas Oil 2nd month Close,Futures IPE Gas Oil 2nd month Close,Futures IPE Gas Oil 2nd month Close
29-Dec-00,238,238,238,238
28-Dec-00,234.75,234.75,234.75,234.75
27-Dec-00,237.25,237.25,237.25,237.25
26-Dec-00,233.83,233.83,233.83,233.83
25-Dec-00,230.42,230.42,230.42,230.42
22-Dec-00,227,227,227,227
21-Dec-00,229.5,229.5,229.5,229.5
20-Dec-00,232.75,232.75,232.75,232.75
19-Dec-00,239,239,239,239
18-Dec-00,244.25,244.25,244.25,244.25
15-Dec-00,234.25,234.25,234.25,234.25
14-Dec-00,232,232,232,232
13-Dec-00,251,251,251,251
12-Dec-00,248,248,248,248
11-Dec-00,259.25,259.25,259.25,259.25
8-Dec-00,257,257,257,257
7-Dec-00,267,267,267,267
6-Dec-00,266.25,266.25,266.25,266.25
5-Dec-00,276,276,276,276
4-Dec-00,285.5,285.5,285.5,285.5
1-Dec-00,287.5,287.5,287.5,287.5
30-Nov-00,294.75,294.75,294.75,294.75
29-Nov-00,287.5,287.5,287.5,287.5
28-Nov-00,288,288,288,288
27-Nov-00,302.5,302.5,302.5,302.5
24-Nov-00,307.5,307.5,307.5,307.5
23-Nov-00,296.5,296.5,296.5,296.5
22-Nov-00,297.25,297.25,297.25,297.25
21-Nov-00,308,308,308,308
20-Nov-00,311.75,311.75,311.75,311.75
17-Nov-00,299.5,299.5,299.5,299.5
16-Nov-00,300.75,300.75,300.75,300.75
15-Nov-00,301.25,301.25,301.25,301.25
14-Nov-00,292,292,292,292
13-Nov-00,289.25,289.25,289.25,289.25
10-Nov-00,290.75,290.75,290.75,290.75
9-Nov-00,293.25,293.25,293.25,293.25
8-Nov-00,281.5,281.5,281.5,281.5
7-Nov-00,281,281,281,281
6-Nov-00,272.25,272.25,272.25,272.25
3-Nov-00,274.25,274.25,274.25,274.25
2-Nov-00,279.25,279.25,279.25,279.25
1-Nov-00,285,285,285,285
31-Oct-00,275.75,275.75,275.75,275.75
30-Oct-00,283.25,283.25,283.25,283.25
27-Oct-00,286.5,286.5,286.5,286.5
26-Oct-00,289.5,289.5,289.5,289.5
25-Oct-00,290.75,290.75,290.75,290.75
24-Oct-00,296.5,296.5,296.5,296.5
23-Oct-00,290.5,290.5,290.5,290.5
20-Oct-00,288,288,288,288
19-Oct-00,293.75,293.75,293.75,293.75
18-Oct-00,292.25,292.25,292.25,292.25
17-Oct-00,289.5,289.5,289.5,289.5
16-Oct-00,304,304,304,304
13-Oct-00,315.5,315.5,315.5,315.5
12-Oct-00,325.5,325.5,325.5,325.5
11-Oct-00,308.25,308.25,308.25,308.25
10-Oct-00,303.75,303.75,303.75,303.75
9-Oct-00,290,290,290,290
6-Oct-00,284.25,284.25,284.25,284.25
5-Oct-00,282.25,282.25,282.25,282.25
4-Oct-00,291.5,291.5,291.5,291.5
3-Oct-00,292.5,292.5,292.5,292.5
2-Oct-00,294.25,294.25,294.25,294.25
29-Sep-00,283.25,283.25,283.25,283.25
28-Sep-00,282.25,282.25,282.25,282.25
27-Sep-00,290.5,290.5,290.5,290.5
26-Sep-00,285.75,285.75,285.75,285.75
25-Sep-00,293.25,293.25,293.25,293.25
22-Sep-00,307.25,307.25,307.25,307.25
21-Sep-00,310,310,310,310
20-Sep-00,316.25,316.25,316.25,316.25
19-Sep-00,313.5,313.5,313.5,313.5
18-Sep-00,321.25,321.25,321.25,321.25
