Date,Open,High,Low,Close,Volume,Adj. Close*
11-Apr-03,3030.46,3048.07,2962.97,2997.87,0,2997.87
10-Apr-03,3137.24,3137.24,3021.74,3035.33,0,3035.33
9-Apr-03,3160.74,3164.6,3126.83,3141.25,0,3141.25
8-Apr-03,3205.92,3209.42,3172.68,3174.86,0,3174.86
7-Apr-03,3181.94,3221.9,3180.87,3215.24,0,3215.24
4-Apr-03,3151.16,3169.2,3130.8,3167.7,0,3167.7
3-Apr-03,3130.84,3155.12,3119.8,3151.16,0,3151.16
2-Apr-03,3083.94,3120.31,3079.62,3116.99,0,3116.99
1-Apr-03,3037.54,3089.6,3037.54,3080.95,0,3080.95
31-Mar-03,3106.93,3106.93,3039.83,3048.72,0,3048.72
28-Mar-03,3115.37,3130.33,3099,3115.44,0,3115.44
27-Mar-03,3138.89,3146.29,3115.06,3116.79,0,3116.79
26-Mar-03,3148.07,3165.37,3140,3143.58,0,3143.58
25-Mar-03,3122.7,3143.02,3102.65,3140.42,0,3140.42
24-Mar-03,3216.07,3216.07,3137.56,3140.36,0,3140.36
21-Mar-03,3195.66,3209.46,3179.79,3200.15,0,3200.15
20-Mar-03,3118.8,3197.66,3118.32,3192.93,0,3192.93
19-Mar-03,3103.87,3128.83,3103.87,3121.18,0,3121.18
17-Mar-03,3115.14,3115.14,3049.05,3084.91,0,3084.91
13-Mar-03,3113.35,3127.3,3086.43,3108.24,0,3108.24
12-Mar-03,3151.6,3158.98,3106.85,3110.08,0,3110.08
11-Mar-03,3117.49,3159.48,3100.14,3154.91,0,3154.91
10-Mar-03,3152.9,3161.97,3116.01,3125.88,0,3125.88
7-Mar-03,3182.16,3182.16,3142.89,3153.06,0,3153.06
6-Mar-03,3244.96,3244.96,3186.43,3190.35,0,3190.35
5-Mar-03,3233.43,3235.85,3190.06,3226.1,0,3226.1
4-Mar-03,3271.06,3272.19,3240.16,3244.8,0,3244.8
3-Mar-03,3301.67,3311.57,3274.64,3277.27,0,3277.27
28-Feb-03,3294.6,3316.74,3269.8,3283.66,0,3283.66
