"   ""Date""","   ""Open""","   ""High""","    ""Low""","  ""Close""","    ""Vol""",OpenInt," ""TotVol""","  ""TotOI"""
11-Aug-00,1470,1484.5,1461,1478.5,44053,389243,0,0
10-Aug-00,1482,1483,1468,1474.3,44053,389243,0,0
9-Aug-00,1497.5,1498,1480,1481,53452,386984,0,0
8-Aug-00,1482.5,1494,1481.5,1491.7,48346,385401,0,0
7-Aug-00,1473.5,1490.5,1470.5,1486.2,41009,387863,0,0
4-Aug-00,1467.5,1473.5,1461,1471.7,52102,388602,0,0
3-Aug-00,1437,1465,1433,1461.5,63825,389959,0,0
2-Aug-00,1447,1461,1443.1,1452.5,57215,386394,0,0
1-Aug-00,1442,1454.5,1439,1447.5,57272,384887,0,0
31-Jul-00,1438,1449,1429.8,1438.9,61412,386719,0,0
28-Jul-00,1464,1467.5,1424,1432,69008,385520,0,0
27-Jul-00,1465.5,1475.5,1456,1463.7,61387,387325,0,0
26-Jul-00,1480.2,1481,1466,1469,70612,385521,0,0
25-Jul-00,1484.5,1488,1477.5,1484.5,46620,387456,0,0
24-Jul-00,1493,1499,1476.4,1481.4,52621,384959,0,0
21-Jul-00,1507,1507.5,1488.5,1489.5,48442,385224,0,0
20-Jul-00,1501,1516.9,1499.5,1516.2,58273,385170,0,0
19-Jul-00,1506.5,1510,1493.5,1500.3,53478,379781,0,0
18-Jul-00,1518,1519,1506,1511.5,53758,377681,0,0
17-Jul-00,1521.1,1533,1519.5,1522,46403,376544,0,0
14-Jul-00,1515,1525.5,1510,1524,42618,378678,0,0
13-Jul-00,1510.5,1516.5,1505.5,1509.5,46035,378224,0,0
12-Jul-00,1506,1514.5,1500.5,1505.7,46327,375683,0,0
11-Jul-00,1488,1505.5,1486.3,1494.7,58705,375095,0,0
10-Jul-00,1490.5,1502.7,1490,1491.5,42076,373904,0,0
7-Jul-00,1479,1502,1476.5,1494.7,53785,376498,0,0
6-Jul-00,1464.5,1478.5,1456.6,1473.7,56778,375094,0,0
5-Jul-00,1480,1481.5,1458.5,1463.3,52137,373139,0,0
3-Jul-00,1470.5,1491,1468,1490.5,21812,374151,0,0
30-Jun-00,1455,1471.5,1455,1468.1,51759,373206,0,0
29-Jun-00,1463,1473.9,1452,1458,64354,373388,0,0
28-Jun-00,1473.9,1486.5,1470.5,1471.2,48903,376110,0,0
27-Jun-00,1475.5,1484,1469.8,1471,43828,376244,0,0
26-Jun-00,1470,1480,1466.6,1479,44255,373598,0,0
23-Jun-00,1476.3,1478.8,1457.5,1463.5,47701,376463,0,0
22-Jun-00,1495.5,1495.5,1468.5,1476.3,59679,376631,0,0
21-Jun-00,1491,1503.5,1488.5,1498.6,46837,374972,0,0
20-Jun-00,1504,1509,1490.5,1499,54480,373547,0,0
19-Jun-00,1486,1512.4,1483,1504.5,52447,377731,0,0
16-Jun-00,1500.5,1503,1481,1488,51609,373963,0,0
15-Jun-00,1498,1506,1486.5,1497.5,128054,461971,0,0
14-Jun-00,1499,1507,1490.5,1498,161475,457720,0,0
13-Jun-00,1468,1496,1466,1494.5,203930,448830,0,0
12-Jun-00,1487.5,1488.5,1468.5,1469,183426,441102,0,0
9-Jun-00,1496.5,1497.8,1477.5,1484.5,160800,431623,0,0
8-Jun-00,1497,1498,1480.2,1489,189145,428091,0,0
7-Jun-00,1462.5,1477.5,1457.5,1472,155841,422858,0,0
6-Jun-00,1466,1475.5,1457.5,1463,122214,408788,0,0
5-Jun-00,1473.5,1480.5,1468,1470.5,111793,406408,0,0
2-Jun-00,1487,1489,1474,1476,96956,404744,0,0
1-Jun-00,1435,1453.5,1428.5,1451.5,98979,397628,0,0
31-May-00,1421.5,1439,1420,1422.2,93435,398302,0,0
30-May-00,1395,1429.5,1394,1427.2,83457,393997,0,0
26-May-00,1389,1396.5,1373.5,1381.3,61220,395634,0,0
25-May-00,1406,1418,1377.5,1389,87348,393971,0,0
24-May-00,1384,1407.9,1365.5,1401.7,115427,390859,0,0
23-May-00,1403.5,1409.5,1379,1382.6,82065,385695,0,0
22-May-00,1417,1417,1372.5,1403.8,100980,384698,0,0
19-May-00,1430,1434,1407,1415,68677,381560,0,0
18-May-00,1456,1465.3,1441.5,1442,62499,380622,0,0
17-May-00,1459,1463.5,1448,1456.7,66362,378530,0,0
16-May-00,1469,1479,1457.5,1471.7,75933,378636,0,0
15-May-00,1430,1459.5,1424,1457.7,56079,380396,0,0
12-May-00,1420,1439,1418,1430.7,59609,380635,0,0
11-May-00,1405,1419,1396,1415,65507,381057,0,0
10-May-00,1409.1,1413.5,1382.5,1387.8,88189,379870,0,0
9-May-00,1439,1439.5,1409.3,1419.8,72639,377241,0,0
8-May-00,1429,1439,1425,1430,51705,378579,0,0
5-May-00,1408.5,1446,1408,1439,61198,378892,0,0
4-May-00,1426,1428.5,1413,1423.2,63413,379225,0,0
3-May-00,1447,1447,1404.5,1422.5,83400,381243,0,0
2-May-00,1466,1478,1449,1450.5,66473,379878,0,0
1-May-00,1468,1492,1465.5,1476.9,64029,381372,0,0
28-Apr-00,1485,1486,1458.1,1460,55686,381983,0,0
27-Apr-00,1440.5,1480.5,1440.5,1467.3,80396,384666,0,0
26-Apr-00,1490,1495,1467,1475.5,64403,382815,0,0
25-Apr-00,1451,1490,1451,1489.2,76122,384918,0,0
24-Apr-00,1427.5,1441,1417,1437,69627,382459,0,0
20-Apr-00,1441,1448,1432.5,1447.2,47869,379832,0,0
19-Apr-00,1454,1459.5,1435.5,1440.3,103436,382184,0,0
18-Apr-00,1413.5,1454,1408.6,1452.7,103436,382184,0,0
17-Apr-00,1367.5,1415,1359,1412.7,123263,386501,0,0
14-Apr-00,1435.5,1438,1348,1367.5,131633,388736,0,0
13-Apr-00,1486,1492.5,1452,1456,88489,378451,0,0
12-Apr-00,1518.5,1522.7,1475,1476.7,84842,378574,0,0
11-Apr-00,1511,1529,1498,1519,83224,378753,0,0
10-Apr-00,1531,1543.7,1517.5,1521.5,65522,374939,0,0
7-Apr-00,1529,1535.5,1518.5,1529,56599,373383,0,0
6-Apr-00,1512.5,1529.5,1503.5,1516.5,69596,373815,0,0
5-Apr-00,1498,1521.5,1493,1505.5,95121,372401,0,0
4-Apr-00,1531,1543,1433,1519.5,141140,376328,0,0
3-Apr-00,1513,1529,1502.5,1528.2,86473,372613,0,0
31-Mar-00,1511,1538.5,1501,1515.3,86597,373144,0,0
30-Mar-00,1516,1535,1493.5,1504.3,81154,371045,0,0
29-Mar-00,1532.5,1541,1515,1530.5,78241,368634,0,0
28-Mar-00,1534.5,1547.5,1523,1530.2,71126,365131,0,0
27-Mar-00,1550.5,1554.3,1536.5,1538.5,56096,366671,0,0
24-Mar-00,1544,1574,1535,1555.4,89761,369765,0,0
23-Mar-00,1512.5,1552.5,1510.2,1544,77184,367347,0,0
22-Mar-00,1511,1525,1505.5,1517.5,68356,364936,0,0
21-Mar-00,1474,1514.3,1463.5,1507.5,91720,365808,0,0
20-Mar-00,1486,1490.9,1466.5,1478.1,69053,367038,0,0
17-Mar-00,1472,1497.5,1470,1489,94046,369534,0,0
16-Mar-00,1427,1481,1423,1478,184289,445481,0,0
15-Mar-00,1386,1417.5,1375,1413.2,171980,442927,0,0
14-Mar-00,1409.5,1414,1377,1380,187249,445704,0,0
13-Mar-00,1382.8,1418,1382.8,1401.5,188059,435096,0,0
10-Mar-00,1418.5,1434,1412,1417.8,175254,417114,0,0
9-Mar-00,1384,1423,1376.5,1422.5,217584,418833,0,0
