date,open,high,low,close 
30-Dec-99,1485.5,1489.5,1476.5,1480.8
29-Dec-99,1477,1483.5,1476.5,1482.2
28-Dec-99,1473.5,1481.5,1471,1478.7
27-Dec-99,1482,1482,1469.5,1477.8
23-Dec-99,1464,1481,1464,1480.4
22-Dec-99,1454,1458,1446,1457.5
21-Dec-99,1432,1456.5,1430.6,1454.5
20-Dec-99,1443.5,1448.8,1429.2,1435
17-Dec-99,1447.8,1451,1439,1444.5
16-Dec-99,1435.5,1441.5,1427,1437.2
15-Dec-99,1420.5,1437.5,1416,1428.7
14-Dec-99,1429.5,1440,1422,1425.3
13-Dec-99,1430.5,1442.7,1429.5,1436.5
10-Dec-99,1440,1443.5,1425,1435
9-Dec-99,1413,1418,1391,1410.4
8-Dec-99,1412.5,1417.8,1404,1405.4
7-Dec-99,1430,1430.3,1411,1415.8
6-Dec-99,1435,1435.7,1421.2,1425.5
3-Dec-99,1429.5,1452,1429,1438.5
2-Dec-99,1403.5,1412.5,1402,1412.2
1-Dec-99,1391,1404.5,1389,1402.5
30-Nov-99,1407,1414.5,1390,1391.5
29-Nov-99,1412,1419.5,1405,1410.4
26-Nov-99,1423,1428.8,1413.5,1414.6
24-Nov-99,1407.5,1424.2,1402.1,1421.5
23-Nov-99,1428,1429,1405.5,1412
22-Nov-99,1423,1430.5,1416.5,1427.2
19-Nov-99,1424.1,1430.9,1422.1,1427.5
18-Nov-99,1425,1432,1418.2,1428.6
17-Nov-99,1424,1429.7,1416,1418
16-Nov-99,1406,1433,1403,1431
15-Nov-99,1400,1405,1397.1,1403
12-Nov-99,1398,1403.3,1374,1401.6
11-Nov-99,1383.5,1388.2,1378,1387.9
10-Nov-99,1365,1386.4,1363.5,1380
9-Nov-99,1389,1390,1367,1372
8-Nov-99,1373.5,1387.9,1371,1383.2
5-Nov-99,1391,1395,1372.5,1384.6
4-Nov-99,1372.5,1378,1362.5,1368.5
3-Nov-99,1364,1368,1355.5,1360.5
2-Nov-99,1363,1378,1352,1352.5
1-Nov-99,1370.3,1375.2,1362,1362.5
29-Oct-99,1362,1382,1361,1376.2
28-Oct-99,1328,1354,1327,1350.2
27-Oct-99,1292,1308,1287.5,1305.5
26-Oct-99,1306,1312.4,1285.2,1285.6
25-Oct-99,1298.2,1310.5,1294,1300.9
22-Oct-99,1302,1318,1302,1307.2
21-Oct-99,1276.5,1296.5,1272.5,1296
20-Oct-99,1281,1299.8,1277.7,1292.5
19-Oct-99,1276,1289,1266.5,1274.5
18-Oct-99,1257,1266.5,1241.6,1265.7
15-Oct-99,1257,1275,1253,1257.3
14-Oct-99,1291.5,1300,1275.8,1290
13-Oct-99,1316,1321,1289,1289.5
12-Oct-99,1342,1343,1321.3,1326
11-Oct-99,1343.5,1350.7,1343,1347
8-Oct-99,1332,1348,1321.5,1346.5
7-Oct-99,1337.3,1339.3,1324.3,1329
6-Oct-99,1317.5,1337.2,1316,1334.7
5-Oct-99,1316.5,1329,1297,1315.7
4-Oct-99,1301.5,1319,1298.5,1318.7
1-Oct-99,1286,1295.3,1276.5,1293.5
30-Sep-99,1284,1304,1280.2,1298.2
29-Sep-99,1292,1302,1278.6,1279.9
