,Futures NYMEX WTI 1st month Close,Futures NYMEX WTI 1st month Close,Futures NYMEX WTI 1st month Close,Futures NYMEX WTI 1st month Close
29-Dec-00,26.8,26.8,26.8,26.8
28-Dec-00,25.85,25.85,25.85,25.85
27-Dec-00,26.47,26.47,26.47,26.47
26-Dec-00,26.64,26.64,26.64,26.64
25-Dec-00,26.41,26.41,26.41,26.41
22-Dec-00,26.18,26.18,26.18,26.18
21-Dec-00,25.98,25.98,25.98,25.98
20-Dec-00,25.77,25.77,25.77,25.77
19-Dec-00,29.33,29.33,29.33,29.33
18-Dec-00,29.76,29.76,29.76,29.76
15-Dec-00,28.87,28.87,28.87,28.87
14-Dec-00,27.99,27.99,27.99,27.99
13-Dec-00,28.74,28.74,28.74,28.74
12-Dec-00,29.68,29.68,29.68,29.68
11-Dec-00,29.5,29.5,29.5,29.5
8-Dec-00,28.44,28.44,28.44,28.44
7-Dec-00,29.35,29.35,29.35,29.35
6-Dec-00,29.85,29.85,29.85,29.85
5-Dec-00,29.53,29.53,29.53,29.53
4-Dec-00,31.22,31.22,31.22,31.22
1-Dec-00,32.02,32.02,32.02,32.02
30-Nov-00,33.82,33.82,33.82,33.82
29-Nov-00,34.63,34.63,34.63,34.63
28-Nov-00,34.22,34.22,34.22,34.22
27-Nov-00,35.38,35.38,35.38,35.38
24-Nov-00,35.39,35.39,35.39,35.39
23-Nov-00,35.39,35.39,35.39,35.39
22-Nov-00,35.4,35.4,35.4,35.4
21-Nov-00,35.16,35.16,35.16,35.16
20-Nov-00,35.22,35.22,35.22,35.22
17-Nov-00,35.45,35.45,35.45,35.45
16-Nov-00,35.12,35.12,35.12,35.12
15-Nov-00,35.58,35.58,35.58,35.58
14-Nov-00,34.87,34.87,34.87,34.87
13-Nov-00,34.47,34.47,34.47,34.47
10-Nov-00,34.02,34.02,34.02,34.02
9-Nov-00,33.92,33.92,33.92,33.92
8-Nov-00,33.24,33.24,33.24,33.24
7-Nov-00,33.4,33.4,33.4,33.4
6-Nov-00,32.86,32.86,32.86,32.86
3-Nov-00,32.71,32.71,32.71,32.71
2-Nov-00,32.54,32.54,32.54,32.54
1-Nov-00,33.25,33.25,33.25,33.25
31-Oct-00,32.7,32.7,32.7,32.7
30-Oct-00,32.81,32.81,32.81,32.81
27-Oct-00,32.74,32.74,32.74,32.74
26-Oct-00,33.71,33.71,33.71,33.71
25-Oct-00,32.96,32.96,32.96,32.96
24-Oct-00,33.37,33.37,33.37,33.37
23-Oct-00,33.76,33.76,33.76,33.76
20-Oct-00,33.75,33.75,33.75,33.75
19-Oct-00,32.91,32.91,32.91,32.91
18-Oct-00,33.48,33.48,33.48,33.48
17-Oct-00,32.99,32.99,32.99,32.99
16-Oct-00,32.92,32.92,32.92,32.92
13-Oct-00,34.99,34.99,34.99,34.99
12-Oct-00,36.06,36.06,36.06,36.06
11-Oct-00,33.25,33.25,33.25,33.25
10-Oct-00,33.18,33.18,33.18,33.18
9-Oct-00,31.86,31.86,31.86,31.86
6-Oct-00,30.86,30.86,30.86,30.86
5-Oct-00,30.53,30.53,30.53,30.53
4-Oct-00,31.43,31.43,31.43,31.43
3-Oct-00,32.07,32.07,32.07,32.07
2-Oct-00,32.18,32.18,32.18,32.18
29-Sep-00,30.84,30.84,30.84,30.84
28-Sep-00,30.34,30.34,30.34,30.34
27-Sep-00,31.46,31.46,31.46,31.46
26-Sep-00,31.5,31.5,31.5,31.5
25-Sep-00,31.57,31.57,31.57,31.57
22-Sep-00,32.68,32.68,32.68,32.68
21-Sep-00,34,34,34,34
20-Sep-00,37.2,37.2,37.2,37.2
19-Sep-00,36.51,36.51,36.51,36.51
18-Sep-00,36.88,36.88,36.88,36.88
15-Sep-00,35.92,35.92,35.92,35.92
14-Sep-00,34.07,34.07,34.07,34.07
13-Sep-00,33.82,33.82,33.82,33.82
12-Sep-00,34.28,34.28,34.28,34.28
11-Sep-00,35.14,35.14,35.14,35.14
8-Sep-00,33.63,33.63,33.63,33.63
7-Sep-00,35.39,35.39,35.39,35.39
6-Sep-00,34.9,34.9,34.9,34.9
5-Sep-00,33.83,33.83,33.83,33.83
4-Sep-00,33.61,33.61,33.61,33.61
1-Sep-00,33.38,33.38,33.38,33.38
31-Aug-00,33.12,33.12,33.12,33.12
30-Aug-00,33.32,33.32,33.32,33.32
29-Aug-00,32.74,32.74,32.74,32.74
28-Aug-00,32.87,32.87,32.87,32.87
25-Aug-00,32.03,32.03,32.03,32.03
24-Aug-00,31.63,31.63,31.63,31.63
23-Aug-00,32.02,32.02,32.02,32.02
22-Aug-00,31.22,31.22,31.22,31.22
21-Aug-00,32.47,32.47,32.47,32.47
18-Aug-00,31.99,31.99,31.99,31.99
17-Aug-00,31.94,31.94,31.94,31.94
16-Aug-00,31.8,31.8,31.8,31.8
15-Aug-00,31.67,31.67,31.67,31.67
