Date,Open,High,Low,Close
31-Dec-86,49.7,50.05,49.6,49.95
30-Dec-86,49.2,49.35,48.8,49.19
29-Dec-86,49.1,49.8,49.05,49.56
24-Dec-86,47.95,48.85,47.75,48.7
23-Dec-86,47.6,48.7,47.6,48.02
22-Dec-86,48.15,48.17,47.7,48.17
19-Dec-86,47.75,48,46,46.17
18-Dec-86,45.3,47.25,44.9,46.47
17-Dec-86,46.25,46.5,45.55,45.9
16-Dec-86,46.8,47.6,46.19,46.44
15-Dec-86,47.74,48.4,47.2,47.32
12-Dec-86,47,47.5,46.1,47.14
11-Dec-86,44.4,45.98,44.3,45.78
10-Dec-86,43.2,44.15,42.8,43.98
9-Dec-86,43.5,43.85,43.35,43.47
8-Dec-86,44.6,44.9,44,44.08
5-Dec-86,44.59,45.05,44.55,44.72
4-Dec-86,43.6,44.05,43.25,43.94
3-Dec-86,44,44.4,43.6,43.81
2-Dec-86,44.35,44.5,43.75,43.83
1-Dec-86,43.4,44.35,43.3,44.24
26-Nov-86,43.9,44.35,42.7,42.89
25-Nov-86,41.9,43.2,41.9,43.15
24-Nov-86,44.3,44.4,42.6,42.83
21-Nov-86,44,44.7,43.9,44.22
20-Nov-86,45.3,45.3,44.2,44.3
19-Nov-86,45.7,45.8,45.25,45.44
18-Nov-86,45.25,45.7,45.15,45.59
17-Nov-86,46.6,46.7,45.5,45.8
14-Nov-86,46.5,46.75,45.7,46.3
13-Nov-86,44.75,46.7,44.4,46.34
12-Nov-86,45.2,45.35,44.7,45
11-Nov-86,45.1,45.5,44.9,45.46
10-Nov-86,45,45.1,44.55,44.92
7-Nov-86,44.6,45.1,44.35,44.48
6-Nov-86,44,44.5,43.9,44.2
5-Nov-86,43.8,44.2,43.4,43.49
4-Nov-86,41,42.8,40.85,42.57
3-Nov-86,41.75,42.2,40.9,41.05
31-Oct-86,42.4,43,41.8,41.92
30-Oct-86,39.05,40.44,38.9,40.44
29-Oct-86,39.6,39.7,37.75,38.44
28-Oct-86,39.3,40.1,39.05,39.48
27-Oct-86,41,41,40.1,40.1
24-Oct-86,41.9,42.3,41.35,41.65
23-Oct-86,42.4,42.7,41.6,41.68
22-Oct-86,43.76,43.9,42.56,42.75
21-Oct-86,43.7,44.8,43.7,44.1
20-Oct-86,43.5,44.1,43.15,44
17-Oct-86,41.05,42.9,41,42.75
16-Oct-86,41.7,41.9,40.55,41.56
15-Oct-86,41.2,42.4,41.1,42.11
14-Oct-86,40.2,41,39.55,40.9
13-Oct-86,41.86,41.9,39.4,40.22
10-Oct-86,43.1,43.35,41.05,41.36
9-Oct-86,43.6,43.8,42.4,43.05
8-Oct-86,44.3,44.3,43.5,43.74
7-Oct-86,44,44.55,43.8,44.17
6-Oct-86,42.7,43.75,42.35,43.1
3-Oct-86,44.25,44.75,43.17,43.26
2-Oct-86,44.7,45.25,44.6,45.17
1-Oct-86,43.75,44.65,43.65,44.53
30-Sep-86,44.2,44.6,43.4,43.6
29-Sep-86,43.1,44.1,42.9,43.91
26-Sep-86,41.25,42,41.2,41.57
25-Sep-86,41,41.35,40.82,40.86
24-Sep-86,41.8,42.15,41.5,41.6
23-Sep-86,40.25,41.7,40.25,41.62
22-Sep-86,41.1,41.5,40.8,40.97
19-Sep-86,42.35,42.35,41.5,41.87
18-Sep-86,41.1,41.85,41.05,41.67
17-Sep-86,40.2,41.1,39.8,40.67
16-Sep-86,39.25,40.65,39.25,40.17
15-Sep-86,41,41,40,40.44
12-Sep-86,41.85,42.5,41.5,41.69
11-Sep-86,41.5,41.85,39.7,41.5
10-Sep-86,42.15,42.65,41.06,41.08
9-Sep-86,43.75,44.2,43,43.06
8-Sep-86,46.25,46.25,44.72,44.72
5-Sep-86,45.5,45.65,45.15,45.46
4-Sep-86,44.8,45.2,44.3,44.93
3-Sep-86,45.75,45.85,44.6,44.84
2-Sep-86,45.8,45.9,45.2,45.76
29-Aug-86,44.2,44.8,44.1,44.59
28-Aug-86,44,44.2,43.5,44.14
27-Aug-86,44.8,45.1,43.65,44.28
26-Aug-86,44.45,45.25,44.4,45.03
25-Aug-86,44,44.55,44,44.12
22-Aug-86,44,44.3,43.7,44.22
21-Aug-86,44.35,44.6,43.7,44.21
20-Aug-86,42.6,43.95,42.5,43.88
19-Aug-86,43.58,43.9,42.7,42.95
18-Aug-86,45.2,45.6,44.25,44.38
15-Aug-86,44.05,44.6,43.95,44.47
14-Aug-86,42.7,43.7,42.55,43.55
13-Aug-86,43.5,43.9,42.5,43.19
12-Aug-86,42.65,43.86,42.4,43.32
11-Aug-86,42.2,42.8,41.6,41.86
8-Aug-86,42.5,42.85,41.5,41.84
7-Aug-86,43,44.1,42.5,43.4
6-Aug-86,41.75,42.2,41.05,42.06
5-Aug-86,43,43,41.8,42.79
4-Aug-86,34.25,38.6,34.25,38.33
1-Aug-86,33.37,34.1,33.1,33.73
31-Jul-86,35.7,35.7,33.37,33.37
30-Jul-86,35.8,35.85,34.87,35.37
29-Jul-86,33.5,35.09,32.9,34.61
28-Jul-86,31.9,33.3,31.85,33.09
25-Jul-86,33.5,33.7,32.3,32.66
24-Jul-86,33.1,34.1,32.8,33.27
23-Jul-86,33.25,33.9,32.7,33.19
22-Jul-86,35.3,35.69,34.44,34.44
21-Jul-86,36.45,37.4,35.3,36.44
18-Jul-86,34.25,36.54,33.9,35.73
17-Jul-86,35.9,36.5,33.25,34.54
16-Jul-86,33.6,35.62,32.6,35.62
15-Jul-86,31.9,33.71,31.9,33.62
14-Jul-86,31.4,31.9,30.55,31.71
11-Jul-86,33.2,33.2,32.1,32.46
10-Jul-86,33.2,33.85,32.85,33.46
9-Jul-86,33.7,33.8,32.5,32.58
8-Jul-86,33.65,34.25,33.4,34.17
7-Jul-86,33.6,33.9,32.8,32.92
2-Jul-86,36.5,36.5,35.2,35.31
1-Jul-86,36.5,36.65,36,36.08
30-Jun-86,37.55,38,37.11,37.3
27-Jun-86,38.5,39.2,38.1,39.1
26-Jun-86,38.9,39,37.85,38.15
25-Jun-86,37.6,39.34,37.4,38.17
24-Jun-86,37.3,37.6,37.05,37.35
23-Jun-86,37.95,38.3,37.3,37.39
20-Jun-86,38.4,38.7,37.2,37.68
19-Jun-86,37.5,39,37.5,38.88
18-Jun-86,38.2,38.4,37.6,38.19
17-Jun-86,38.81,38.95,37.8,38.53
16-Jun-86,40.4,40.4,38.41,38.79
13-Jun-86,39.2,40.8,39.1,40.41
12-Jun-86,38.25,40.25,38.25,40.11
11-Jun-86,37.1,38.61,37,38.61
10-Jun-86,37.5,38.05,36.5,36.61
9-Jun-86,37.15,38.2,36.65,37.27
6-Jun-86,38.5,38.5,37.1,37.79
5-Jun-86,37.04,38.5,36.85,38.44
4-Jun-86,36.54,36.8,36.54,36.65
3-Jun-86,38.2,38.8,38.05,38.54
2-Jun-86,38.3,38.8,37.7,38.09
30-May-86,41.15,41.35,39.13,39.17
29-May-86,40.7,41.3,39.9,41.13
28-May-86,41.5,41.9,41.05,41.26
27-May-86,42.65,43,42.05,42.24
23-May-86,42.3,43.45,41.8,43.13
22-May-86,41.3,42.7,41.2,42.52
21-May-86,43.5,43.6,41.7,41.85
20-May-86,44.4,44.8,43.3,43.3
19-May-86,44.8,45.4,44.7,45.3
16-May-86,42.6,44.3,42.5,44.18
15-May-86,41.9,43,41.85,42.86
14-May-86,43,43.8,42.65,42.9
13-May-86,41.98,43,41.73,42.79
12-May-86,44,44.45,42.4,42.98
9-May-86,44,44.5,43.45,44.32
8-May-86,43.6,45.7,43.1,44.99
7-May-86,43.9,44.4,43.4,43.82
6-May-86,42.15,42.7,41.8,42.08
5-May-86,43.05,43.8,41.4,41.9
2-May-86,42,43.35,41.6,43.05
1-May-86,40.5,41.5,40.05,40.56
30-Apr-86,40.3,41.4,39.6,39.88
29-Apr-86,41.8,42.2,40.5,40.93
28-Apr-86,43,43.25,41.6,41.88
25-Apr-86,39.25,42.15,39.15,42.01
24-Apr-86,40.4,42.8,39,40.16
23-Apr-86,38.3,39.89,38.3,39.89
22-Apr-86,37.57,38,36.6,37.89
21-Apr-86,35.8,37.7,35.36,37.57
18-Apr-86,36.05,37.2,35.8,36.23
